Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;313216;100;0;{2,12,9,4,5,10,1,6,7,8,3,11};266816;0
1;306544;100;2,1302;{2,12,9,4,5,10,1,6,7,8,3,11};266816;0
2;306272;100;0,0887;{2,12,9,4,5,10,1,6,7,8,3,11};266816;0
3;302726;99;1,1578;{5,12,9,4,2,10,1,6,8,11,7,3};261612;1,9504
4;299662;99;1,0121;{4,5,1,3,2,11,12,8,9,6,7,10};246740;5,6848
5;296987;97;0,8927;{4,5,1,3,2,11,12,8,9,6,7,10};246740;0
6;297937;95;-0,3199;{4,5,1,3,2,11,12,8,9,6,7,10};246740;0
7;294024;96;1,3134;{4,5,1,3,2,11,12,8,9,6,7,10};246740;0
8;289117;90;1,6689;{4,5,1,3,2,11,12,8,9,6,7,10};246740;0
9;284895;79;1,4603;{4,5,1,3,2,11,12,8,9,6,7,10};246740;0
10;279375;75;1,9376;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0,7927
11;275807;62;1,2771;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
12;272000;49;1,3803;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
13;269119;43;1,0592;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
14;267981;37;0,4229;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
15;267864;33;0,0437;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
16;267254;35;0,2277;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
17;266808;35;0,1669;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
18;268316;40;-0,5652;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
19;267220;34;0,4085;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
20;268774;36;-0,5815;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
21;266923;35;0,6887;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
22;268064;40;-0,4275;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
23;267876;41;0,0701;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
24;269651;42;-0,6626;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
25;267990;44;0,616;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
26;271201;49;-1,1982;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
27;270533;46;0,2463;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
28;269670;44;0,319;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
29;270028;45;-0,1328;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
30;269981;51;0,0174;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
31;267566;42;0,8945;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
32;265962;35;0,5995;{4,5,7,3,2,10,12,9,8,6,1,11};244784;0
33;266718;33;-0,2843;{4,7,11,3,5,10,12,9,8,6,1,2};243838;0,3865
34;267103;38;-0,1443;{4,5,11,3,7,10,12,9,8,6,1,2};230704;5,3864
35;262119;37;1,8659;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
36;266479;42;-1,6634;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
37;258454;36;3,0115;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
38;255887;33;0,9932;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
39;257263;32;-0,5377;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
40;254222;31;1,1821;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
41;255210;31;-0,3886;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
42;256109;33;-0,3523;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
43;255462;31;0,2526;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
44;254828;31;0,2482;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
45;256470;33;-0,6444;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
46;255714;31;0,2948;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
47;256851;33;-0,4446;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
48;255409;33;0,5614;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
49;255712;31;-0,1186;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
50;254749;31;0,3766;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0
