Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;251380;95;0;"
N : 12
S0 : {12,2,5,3,1,4,6,8,9,10,11,7}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";234788;0
1;252032;95;-0,2594;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;4,4176
2;256892;100;-1,9283;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
3;258939;97,5;-0,7968;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
4;259999;97,5;-0,4094;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
5;254993;97,5;1,9254;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
6;259953;100;-1,9452;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
7;255497;97,5;1,7142;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
8;252332;100;1,2388;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
9;254724;97,5;-0,948;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
10;255498;97,5;-0,3039;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
11;257206;100;-0,6685;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
12;256582;100;0,2426;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
13;255995;97,5;0,2288;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
14;254000;97,5;0,7793;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
15;256655;97,5;-1,0453;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
16;254421;97,5;0,8704;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
17;253757;90;0,261;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
18;254381;95;-0,2459;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
19;253732;95;0,2551;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
20;256235;97,5;-0,9865;"
N : 12
S0 : {6,9,2,4,10,1,12,3,5,7,11,8}
T0 : 364136,27
Temp_Decrease : 0,67
MaxSteps : 1340
Neighbors per Step : 19
";224416;0
