Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
0;0;328868;0;{6,8,4,1,5,11,7,2,10,9,3,12};328868;0;10000
1;-1;298392;9,2669;{6,12,4,1,11,5,7,2,10,9,3,8};278892;15,1964;9800
2;-1;275646;7,6229;{5,10,3,1,4,11,7,6,9,12,2,8};275646;1,1639;9604
3;1;287702;-4,3737;{5,10,3,1,4,11,7,6,9,12,2,8};275646;0;9411,92
4;-1;268762;6,5832;{4,1,6,2,3,7,12,10,9,11,5,8};257000;6,7645;9223,6816
5;-1;266600;0,8044;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;9039,207968
6;1;274970;-3,1395;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8858,42380864
7;1;275680;-0,2582;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8681,2553324672
8;-1;272068;1,3102;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8507,63022581786
9;1;297872;-9,4844;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8337,4776213015
10;-1;293036;1,6235;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8170,72806887547
11;0;293036;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;8007,31350749796
12;0;293036;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7847,167237348
13;-1;272068;7,1554;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7690,22389260104
14;1;283972;-4,3754;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7536,41941474902
15;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7385,69102645404
16;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7237,97720592496
17;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;7093,21766180646
18;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6951,35330857033
19;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6812,32624239892
20;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6676,07971755094
21;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6542,55812319992
22;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6411,70696073593
23;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6283,47282152121
24;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6157,80336509078
25;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;6034,64729778897
26;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5913,95435183319
27;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5795,67526479652
28;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5679,76175950059
29;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5566,16652431058
30;0;283972;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5454,84319382437
31;-1;280584;1,1931;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5345,74632994788
32;0;280584;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5238,83140334892
33;0;280584;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5134,05477528195
34;0;280584;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;5031,37367977631
35;0;280584;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;4930,74620618078
36;0;280584;0;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;4832,13128205717
37;-1;270862;3,4649;{4,1,6,2,3,7,12,10,9,11,5,8};257000;0;4735,48865641602
