Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;313591;100;0;{2,1,9,5,3,10,12,11,6,4,8,7};275282;0
1;300588;99;4,1465;{8,5,12,2,11,7,1,6,10,4,9,3};270032;1,9071
2;298890;99;0,5649;{8,1,12,11,9,7,10,6,2,4,3,5};267004;1,1213
3;293831;94;1,6926;{8,5,6,11,9,7,1,2,12,10,3,4};253966;4,8831
4;292354;99;0,5027;{8,6,12,2,11,4,7,5,9,3,1,10};252504;0,5757
5;285896;95;2,209;{8,6,12,2,11,4,7,5,9,3,1,10};252504;0
6;283245;97;0,9273;{8,1,12,2,11,4,5,3,9,7,6,10};249436;1,215
7;276791;97;2,2786;{8,5,12,2,11,4,7,1,3,9,6,10};247138;0,9213
8;270817;93;2,1583;{8,6,12,2,11,4,9,1,3,7,5,10};237136;4,0471
9;266292;81;1,6709;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
10;260326;71;2,2404;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
11;251942;49;3,2206;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
12;246306;32;2,237;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
13;239342;9;2,8274;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
14;239029;4;0,1308;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
15;239080;5;-0,0213;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
16;238768;4;0,1305;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
17;238745;4;0,0096;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
18;238823;4;-0,0327;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
19;238595;4;0,0955;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
20;238749;4;-0,0645;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
21;239008;3;-0,1085;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
22;238717;3;0,1218;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
23;238431;3;0,1198;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
24;238814;3;-0,1606;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
25;239161;4;-0,1453;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
26;238561;3;0,2509;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
27;238718;3;-0,0658;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
28;238913;3;-0,0817;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
29;238757;3;0,0653;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
30;238499;4;0,1081;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
31;238736;3;-0,0994;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
32;239089;4;-0,1479;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
33;238065;3;0,4283;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
34;238668;4;-0,2533;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
35;238534;3;0,0561;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
36;238759;4;-0,0943;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
37;239179;4;-0,1759;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
38;239186;5;-0,0029;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
39;238487;3;0,2922;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
40;238854;5;-0,1539;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
41;238836;5;0,0075;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
42;238727;3;0,0456;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
43;238813;3;-0,036;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
44;239445;4;-0,2646;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
45;238720;3;0,3028;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
46;238743;3;-0,0096;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
47;238741;3;0,0008;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
48;239095;4;-0,1483;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
49;239019;3;0,0318;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
50;238634;3;0,1611;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
51;239032;4;-0,1668;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
52;238458;4;0,2401;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
53;238939;4;-0,2017;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
54;238588;3;0,1469;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
55;238682;4;-0,0394;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
56;238555;3;0,0532;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
57;238700;3;-0,0608;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
58;238798;4;-0,0411;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
59;238922;3;-0,0519;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
60;239334;5;-0,1724;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
61;238509;3;0,3447;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
62;238746;3;-0,0994;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
63;238994;3;-0,1039;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
64;238598;3;0,1657;{8,6,12,2,11,4,9,1,3,7,5,10};237136;0
