Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
0;0;298848;0;{4,2,9,6,7,8,1,3,10,12,5,11};298848;0;1000000
1;1;315678;-5,6316;{10,6,12,2,8,7,11,3,4,9,5,1};297108;0,5822;990000
2;1;322416;-2,1345;{9,10,2,4,8,5,11,7,6,3,12,1};283700;4,5128;980100
3;-1;290244;9,9784;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;970299
4;1;311482;-7,3173;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;960596,01
5;-1;308122;1,0787;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;950990,0499
6;1;324770;-5,4031;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;941480,149401
7;1;343020;-5,6194;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;932065,34790699
8;-1;316728;7,6649;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;922744,69442792
9;1;318322;-0,5033;{9,10,2,4,8,5,11,7,6,3,12,1};283700;0;913517,247483641
10;1;327790;-2,9743;{4,1,8,7,3,10,9,6,2,12,11,5};280142;1,2541;904382,075008804
11;1;346380;-5,6713;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;895338,254258716
12;-1;324020;6,4553;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;886384,871716129
13;-1;307352;5,1441;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;877521,022998968
14;1;308098;-0,2427;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;868745,812768978
15;-1;294588;4,385;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;860058,354641288
16;1;346712;-17,6939;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;851457,771094875
17;-1;329804;4,8767;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;842943,193383927
18;-1;315316;4,3929;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;834513,761450087
19;-1;308328;2,2162;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;826168,623835587
20;1;317746;-3,0545;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;817906,937597231
21;1;327862;-3,1837;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;809727,868221259
22;-1;324424;1,0486;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;801630,589539046
23;1;324866;-0,1362;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;793614,283643655
24;1;342240;-5,3481;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;785678,140807219
25;-1;310516;9,2695;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;777821,359399147
26;-1;305720;1,5445;{4,1,8,7,3,10,9,6,2,12,11,5};280142;0;770043,145805155
