Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
0;False;{11,2,7,1,9,10,8,5,4,6,3,12};293566;0;{11,2,7,1,9,10,8,5,4,6,3,12};293566;0;0
1;True;{11,2,7,1,12,10,8,5,4,6,3,9};278714;5,0592;{11,2,7,1,12,10,8,5,4,6,3,9};278714;5,0592;0
2;True;{11,2,7,3,12,10,8,5,4,6,1,9};268160;3,7867;{11,2,7,3,12,10,8,5,4,6,1,9};268160;3,7867;0
3;True;{3,2,7,11,12,10,8,5,4,6,1,9};264606;1,3253;{3,2,7,11,12,10,8,5,4,6,1,9};264606;1,3253;0
4;True;{3,12,7,11,2,10,8,5,4,6,1,9};257062;2,851;{3,12,7,11,2,10,8,5,4,6,1,9};257062;2,851;0
5;False;{3,12,9,11,2,10,8,5,4,6,1,7};257538;-0,1852;{3,12,7,11,2,10,8,5,4,6,1,9};257062;0;1
6;True;{3,12,9,11,2,10,6,5,4,8,1,7};252680;1,8863;{3,12,9,11,2,10,6,5,4,8,1,7};252680;1,7046;1
7;True;{3,6,9,11,2,10,12,5,4,8,1,7};251004;0,6633;{3,6,9,11,2,10,12,5,4,8,1,7};251004;0,6633;1
8;False;{3,5,9,11,2,10,12,6,4,8,1,7};251036;-0,0127;{3,6,9,11,2,10,12,5,4,8,1,7};251004;0;2
9;True;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0,8652;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0,8526;2
10;False;{3,5,9,11,2,10,12,6,4,8,1,7};251036;-0,8728;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0;3
11;False;{3,5,9,1,2,10,12,6,4,8,11,7};256180;-2,0491;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0;4
12;False;{9,5,3,1,2,10,12,6,4,8,11,7};259224;-1,1882;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0;5
13;False;{6,5,3,1,2,10,12,9,4,8,11,7};260268;-0,4027;{3,5,9,4,2,10,12,6,11,8,1,7};248864;0;5
14;True;{5,6,3,1,2,10,12,9,4,8,11,7};256030;1,6283;{5,6,3,1,2,10,12,9,4,8,11,7};256030;-2,8795;5
15;True;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0,1359;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0,1359;5
16;False;{5,6,3,1,2,10,12,9,4,8,11,7};256030;-0,1361;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0;5
17;False;{5,6,3,1,2,10,12,7,4,8,11,9};259178;-1,2295;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0;5
18;False;{6,5,3,1,2,10,12,7,4,8,11,9};261136;-0,7555;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0;5
19;False;{6,5,3,11,2,10,12,7,4,8,1,9};262032;-0,3431;{5,12,3,1,2,10,6,9,4,8,11,7};255682;0;5
20;True;{6,5,3,11,2,10,12,1,4,8,7,9};258794;1,2357;{6,5,3,11,2,10,12,1,4,8,7,9};258794;-1,2171;5
21;False;{6,5,9,11,2,10,12,1,4,8,7,3};261188;-0,9251;{6,5,3,11,2,10,12,1,4,8,7,9};258794;0;5
22;True;{6,5,9,10,2,11,12,1,4,8,7,3};254800;2,4457;{6,5,9,10,2,11,12,1,4,8,7,3};254800;1,5433;5
23;True;{6,5,9,10,2,11,1,12,4,8,7,3};252246;1,0024;{6,5,9,10,2,11,1,12,4,8,7,3};252246;1,0024;5
24;True;{6,12,9,10,2,11,1,5,4,8,7,3};252106;0,0555;{6,12,9,10,2,11,1,5,4,8,7,3};252106;0,0555;5
25;True;{5,12,9,10,2,11,1,6,4,8,7,3};247662;1,7628;{5,12,9,10,2,11,1,6,4,8,7,3};247662;1,7628;5
26;False;{5,12,9,11,2,10,1,6,4,8,7,3};248058;-0,1599;{5,12,9,10,2,11,1,6,4,8,7,3};247662;0;5
27;True;{5,12,9,4,2,10,1,6,11,8,7,3};244338;1,4996;{5,12,9,4,2,10,1,6,11,8,7,3};244338;1,3422;5
28;False;{5,12,9,11,2,10,1,6,4,8,7,3};248058;-1,5225;{5,12,9,4,2,10,1,6,11,8,7,3};244338;0;5
29;False;{6,12,9,11,2,10,1,5,4,8,7,3};250502;-0,9853;{5,12,9,4,2,10,1,6,11,8,7,3};244338;0;5
30;False;{6,12,9,11,2,10,1,5,8,4,7,3};255304;-1,917;{5,12,9,4,2,10,1,6,11,8,7,3};244338;0;5
31;True;{6,12,9,4,2,10,1,5,8,11,7,3};253938;0,535;{6,12,9,4,2,10,1,5,8,11,7,3};253938;-3,929;5
32;False;{6,12,9,11,2,10,1,5,8,4,7,3};255304;-0,5379;{6,12,9,4,2,10,1,5,8,11,7,3};253938;0;5
33;False;{4,12,9,11,2,10,1,5,8,6,7,3};258970;-1,4359;{6,12,9,4,2,10,1,5,8,11,7,3};253938;0;5
34;True;{4,12,5,11,2,10,1,9,8,6,7,3};255470;1,3515;{4,12,5,11,2,10,1,9,8,6,7,3};255470;-0,6033;5
35;True;{4,12,5,3,2,10,1,9,8,6,7,11};250808;1,8249;{4,12,5,3,2,10,1,9,8,6,7,11};250808;1,8249;5
36;True;{4,12,5,1,2,10,3,9,8,6,7,11};245738;2,0215;{4,12,5,1,2,10,3,9,8,6,7,11};245738;2,0215;5
37;False;{4,12,5,1,2,10,7,9,8,6,3,11};248082;-0,9539;{4,12,5,1,2,10,3,9,8,6,7,11};245738;0;5
38;True;{4,12,5,3,2,10,7,9,8,6,1,11};248004;0,0314;{4,12,5,3,2,10,7,9,8,6,1,11};248004;-0,9221;5
39;True;{4,12,7,3,2,10,5,9,8,6,1,11};247280;0,2919;{4,12,7,3,2,10,5,9,8,6,1,11};247280;0,2919;5
40;True;{4,12,11,3,2,10,5,9,8,6,1,7};242916;1,7648;{4,12,11,3,2,10,5,9,8,6,1,7};242916;1,7648;5
41;True;{4,12,11,3,7,10,5,9,8,6,1,2};234360;3,5222;{4,12,11,3,7,10,5,9,8,6,1,2};234360;3,5222;5
42;True;{4,5,11,3,7,10,12,9,8,6,1,2};230704;1,56;{4,5,11,3,7,10,12,9,8,6,1,2};230704;1,56;5
43;False;{4,5,11,3,7,9,12,10,8,6,1,2};231902;-0,5193;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
44;False;{4,5,11,3,9,7,12,10,8,6,1,2};234886;-1,2868;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
45;False;{4,5,11,3,10,7,12,9,8,6,1,2};237162;-0,969;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
46;False;{4,9,11,3,10,7,12,5,8,6,1,2};237918;-0,3188;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
47;True;{4,9,11,3,10,7,12,8,5,6,1,2};233848;1,7107;{4,9,11,3,10,7,12,8,5,6,1,2};233848;-1,3628;5
48;False;{4,9,11,3,10,7,5,8,12,6,1,2};235256;-0,6021;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
49;False;{4,12,11,3,10,7,5,8,9,6,1,2};239460;-1,787;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
50;True;{4,12,11,3,2,7,5,8,9,6,1,10};232164;3,0469;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0,7201;5
51;False;{4,5,11,3,2,7,12,8,9,6,1,10};239280;-3,0651;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0;5
52;True;{4,5,11,3,10,7,12,8,9,6,1,2};238000;0,5349;{4,5,11,3,10,7,12,8,9,6,1,2};238000;-2,5137;5
53;True;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;5
54;True;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;5
55;False;{4,5,11,3,7,9,12,10,8,6,1,2};231902;-0,5193;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
56;False;{4,5,11,3,9,7,12,10,8,6,1,2};234886;-1,2868;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
57;False;{4,5,11,3,10,7,12,9,8,6,1,2};237162;-0,969;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
58;False;{4,9,11,3,10,7,12,5,8,6,1,2};237918;-0,3188;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
59;True;{4,9,11,3,10,7,12,8,5,6,1,2};233848;1,7107;{4,9,11,3,10,7,12,8,5,6,1,2};233848;-1,3628;5
60;False;{4,9,11,3,10,7,5,8,12,6,1,2};235256;-0,6021;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
61;False;{4,12,11,3,10,7,5,8,9,6,1,2};239460;-1,787;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
62;True;{4,12,11,3,2,7,5,8,9,6,1,10};232164;3,0469;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0,7201;5
63;False;{4,5,11,3,2,7,12,8,9,6,1,10};239280;-3,0651;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0;5
64;True;{4,5,11,3,10,7,12,8,9,6,1,2};238000;0,5349;{4,5,11,3,10,7,12,8,9,6,1,2};238000;-2,5137;5
65;True;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;5
66;True;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;5
67;False;{4,5,11,3,7,9,12,10,8,6,1,2};231902;-0,5193;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
68;False;{4,5,11,3,9,7,12,10,8,6,1,2};234886;-1,2868;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
69;False;{4,5,11,3,10,7,12,9,8,6,1,2};237162;-0,969;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
70;False;{4,9,11,3,10,7,12,5,8,6,1,2};237918;-0,3188;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
71;True;{4,9,11,3,10,7,12,8,5,6,1,2};233848;1,7107;{4,9,11,3,10,7,12,8,5,6,1,2};233848;-1,3628;5
72;False;{4,9,11,3,10,7,5,8,12,6,1,2};235256;-0,6021;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
73;False;{4,12,11,3,10,7,5,8,9,6,1,2};239460;-1,787;{4,9,11,3,10,7,12,8,5,6,1,2};233848;0;5
74;True;{4,12,11,3,2,7,5,8,9,6,1,10};232164;3,0469;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0,7201;5
75;False;{4,5,11,3,2,7,12,8,9,6,1,10};239280;-3,0651;{4,12,11,3,2,7,5,8,9,6,1,10};232164;0;5
76;True;{4,5,11,3,10,7,12,8,9,6,1,2};238000;0,5349;{4,5,11,3,10,7,12,8,9,6,1,2};238000;-2,5137;5
77;True;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;{4,5,11,3,7,10,12,8,9,6,1,2};236662;0,5622;5
78;True;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;{4,5,11,3,7,10,12,9,8,6,1,2};230704;2,5175;5
79;False;{4,5,11,3,7,9,12,10,8,6,1,2};231902;-0,5193;{4,5,11,3,7,10,12,9,8,6,1,2};230704;0;5
