Step;Average Fitness;Diversity;Improvement;Best;Best Fitness;Best Improvement
0;311781;100;0;{2,12,4,6,8,11,5,7,9,3,10,1};277076;0
1;306120;100;1,8157;{2,7,11,6,3,10,1,8,12,9,5,4};272930;1,4963
2;301763;98;1,4233;{4,3,11,1,6,7,2,10,9,12,5,8};262998;3,639
3;298795;99;0,9836;{4,3,11,1,6,7,2,10,9,12,5,8};262998;0
4;295551;97;1,0857;{4,3,11,1,6,7,2,10,9,12,5,8};262998;0
5;292376;97;1,0743;{4,12,10,9,2,11,1,8,3,6,5,7};260458;0,9658
6;286882;94;1,8791;{11,12,2,6,3,5,9,8,10,1,7,4};257374;1,1841
7;281298;90;1,9464;{11,12,10,9,2,7,1,8,3,6,5,4};253768;1,4011
8;278865;83;0,8649;{11,7,2,6,3,5,1,8,9,12,10,4};251086;1,0569
9;276352;75;0,9012;{11,7,2,6,3,5,1,8,9,12,10,4};251086;0
10;270312;56;2,1856;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0,6492
11;270178;46;0,0496;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
12;265599;32;1,6948;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
13;263602;25;0,7519;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
14;264012;26;-0,1555;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
15;267228;28;-1,2181;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
16;266943;28;0,1067;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
17;267569;28;-0,2345;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
18;263911;25;1,3671;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
19;262100;23;0,6862;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
20;263155;22;-0,4025;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
21;262445;23;0,2698;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
22;262561;21;-0,0442;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
23;261391;21;0,4456;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
24;262796;22;-0,5375;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
25;261545;21;0,476;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
26;261936;21;-0,1495;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
27;263042;22;-0,4222;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
28;263901;23;-0,3266;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
29;263458;24;0,1679;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
30;262833;21;0,2372;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
31;262426;21;0,1549;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
32;262439;21;-0,005;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
33;264224;23;-0,6802;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
34;262777;21;0,5476;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
35;264117;21;-0,5099;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
36;262494;21;0,6145;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
37;261846;21;0,2469;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
38;263344;23;-0,5721;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
39;262282;21;0,4033;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
40;263293;24;-0,3855;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
41;262401;22;0,3388;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
42;262459;23;-0,0221;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
43;261415;22;0,3978;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
44;262751;21;-0,5111;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
45;261578;21;0,4464;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
46;262752;21;-0,4488;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
47;261529;21;0,4655;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
48;262561;21;-0,3946;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
49;261587;21;0,371;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
50;263647;21;-0,7875;{11,7,2,6,8,5,9,1,3,12,10,4};249456;0
