Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
0;0;348334;0;{1,8,11,3,6,10,5,12,9,2,4,7};348334;0;400000
1;-1;319680;8,226;{8,3,7,9,10,11,5,4,1,6,12,2};287644;17,4229;392000
2;-1;289586;9,4138;{8,3,7,9,10,11,5,4,1,6,12,2};287644;0;384160
3;1;331772;-14,5677;{10,4,2,5,1,12,9,7,8,3,6,11};284888;0,9581;376476,8
4;-1;307116;7,4316;{10,4,2,5,1,12,9,7,8,3,6,11};284888;0;368947,264
5;-1;291070;5,2247;{2,1,7,10,5,8,12,11,9,4,6,3};281312;1,2552;361568,31872
6;1;330408;-13,515;{2,1,7,10,5,8,12,11,9,4,6,3};281312;0;354336,9523456
7;-1;325060;1,6186;{2,1,7,10,5,8,12,11,9,4,6,3};281312;0;347250,213298688
8;-1;320004;1,5554;{10,5,12,6,4,11,2,9,8,3,7,1};279920;0,4948;340305,209032714
9;-1;303470;5,1668;{8,3,12,11,9,1,10,6,2,4,7,5};270068;3,5196;333499,10485206
10;1;326972;-7,7444;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;326829,122755019
11;-1;293998;10,0847;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;320292,540299918
12;1;306754;-4,3388;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;313886,68949392
13;1;312554;-1,8908;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;307608,955704042
14;1;327252;-4,7025;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;301456,776589961
15;-1;315278;3,659;{8,3,12,11,9,1,10,6,2,4,7,5};270068;0;295427,641058162
16;-1;309896;1,7071;{4,7,2,9,1,8,6,10,5,3,12,11};254132;5,9007;289519,088236998
17;-1;304556;1,7232;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;283728,706472258
18;-1;301698;0,9384;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;278054,132342813
19;1;307128;-1,7998;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;272493,049695957
20;1;313944;-2,2193;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;267043,188702038
21;-1;305502;2,689;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;261702,324927997
22;1;341456;-11,7688;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;256468,278429437
23;-1;300958;11,8604;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;251338,912860848
24;-1;290768;3,3859;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;246312,134603631
25;1;317238;-9,1035;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;241385,891911559
26;1;318456;-0,3839;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;236558,174073327
27;1;348042;-9,2905;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;231827,010591861
28;-1;311850;10,3987;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;227190,470380024
29;1;347170;-11,326;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;222646,660972423
30;-1;322580;7,083;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;218193,727752975
31;1;334822;-3,795;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;213829,853197915
32;1;335760;-0,2801;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;209553,256133957
33;-1;293226;12,668;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;205362,191011278
34;1;324664;-10,7214;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;201254,947191052
35;-1;308184;5,076;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;197229,848247231
36;1;321470;-4,3111;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;193285,251282287
37;-1;286882;10,7593;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;189419,546256641
38;1;325766;-13,554;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;185631,155331508
39;-1;294616;9,5621;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;181918,532224878
40;1;335862;-13,9999;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;178280,16158038
41;-1;290730;13,4377;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;174714,558348773
42;1;291268;-0,1851;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;171220,267181797
43;-1;278670;4,3252;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;167795,861838161
