Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
0;False;{1,2,3,8,5,11,4,7,9,6,10,12};316776;0;{1,2,3,8,5,11,4,7,9,6,10,12};316776;0;0
1;True;{6,2,3,8,5,11,4,7,9,1,10,12};286166;9,663;{6,2,3,8,5,11,4,7,9,1,10,12};286166;9,663;0
2;True;{6,2,3,8,5,11,12,7,9,1,10,4};270458;5,4891;{6,2,3,8,5,11,12,7,9,1,10,4};270458;5,4891;0
3;True;{6,2,3,8,5,11,12,10,9,1,7,4};260412;3,7144;{6,2,3,8,5,11,12,10,9,1,7,4};260412;3,7144;0
4;True;{6,5,3,8,2,11,12,10,9,1,7,4};255208;1,9984;{6,5,3,8,2,11,12,10,9,1,7,4};255208;1,9984;0
5;True;{6,5,3,8,2,11,12,10,7,1,9,4};254612;0,2335;{6,5,3,8,2,11,12,10,7,1,9,4};254612;0,2335;0
6;True;{4,5,3,8,2,11,12,10,7,1,9,6};254378;0,0919;{4,5,3,8,2,11,12,10,7,1,9,6};254378;0,0919;0
7;True;{4,5,3,8,12,11,2,10,7,1,9,6};248048;2,4884;{4,5,3,8,12,11,2,10,7,1,9,6};248048;2,4884;0
8;True;{4,12,3,8,5,11,2,10,7,1,9,6};247390;0,2653;{4,12,3,8,5,11,2,10,7,1,9,6};247390;0,2653;0
9;True;{4,12,3,8,5,11,2,7,10,1,9,6};242968;1,7875;{4,12,3,8,5,11,2,7,10,1,9,6};242968;1,7875;0
10;True;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0,5235;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0,5235;0
11;False;{4,12,3,8,5,11,2,7,10,1,9,6};242968;-0,5263;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0;1
12;False;{8,12,3,4,5,11,2,7,10,1,9,6};246070;-1,2767;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0;2
13;False;{8,12,3,4,5,11,2,9,10,1,7,6};249556;-1,4167;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0;3
14;False;{8,12,3,11,5,4,2,9,10,1,7,6};250984;-0,5722;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0;4
15;False;{8,12,3,7,5,4,2,9,10,1,11,6};254554;-1,4224;{5,12,3,8,4,11,2,7,10,1,9,6};241696;0;5
16;True;{8,12,6,7,5,4,2,9,10,1,11,3};250180;1,7183;{8,12,6,7,5,4,2,9,10,1,11,3};250180;-3,5102;5
17;True;{8,2,6,7,5,4,12,9,10,1,11,3};248418;0,7043;{8,2,6,7,5,4,12,9,10,1,11,3};248418;0,7043;5
18;False;{8,12,6,7,5,4,2,9,10,1,11,3};250180;-0,7093;{8,2,6,7,5,4,12,9,10,1,11,3};248418;0;6
19;False;{8,12,6,7,2,4,5,9,10,1,11,3};252264;-0,833;{8,2,6,7,5,4,12,9,10,1,11,3};248418;0;7
20;True;{8,12,6,7,2,4,5,9,10,3,11,1};251010;0,4971;{8,12,6,7,2,4,5,9,10,3,11,1};251010;-1,0434;7
21;True;{8,12,6,7,2,4,3,9,10,5,11,1};250200;0,3227;{8,12,6,7,2,4,3,9,10,5,11,1};250200;0,3227;7
22;True;{8,12,6,7,2,10,3,9,4,5,11,1};244590;2,2422;{8,12,6,7,2,10,3,9,4,5,11,1};244590;2,2422;7
23;False;{8,12,6,7,2,10,3,9,11,5,4,1};248548;-1,6182;{8,12,6,7,2,10,3,9,4,5,11,1};244590;0;8
24;True;{8,12,6,7,2,4,3,9,11,5,10,1};247894;0,2631;{8,12,6,7,2,4,3,9,11,5,10,1};247894;-1,3508;8
25;False;{8,12,6,7,2,10,3,9,11,5,4,1};248548;-0,2638;{8,12,6,7,2,4,3,9,11,5,10,1};247894;0;9
26;False;{8,12,6,9,2,10,3,7,11,5,4,1};252422;-1,5587;{8,12,6,7,2,4,3,9,11,5,10,1};247894;0;10
27;False;{8,12,10,9,2,6,3,7,11,5,4,1};255464;-1,2051;{8,12,6,7,2,4,3,9,11,5,10,1};247894;0;11
28;True;{8,12,10,9,2,11,3,7,6,5,4,1};253908;0,6091;{8,12,10,9,2,11,3,7,6,5,4,1};253908;-2,426;11
29;True;{8,12,10,9,2,11,5,7,6,3,4,1};248006;2,3245;{8,12,10,9,2,11,5,7,6,3,4,1};248006;2,3245;11
30;True;{8,12,4,9,2,11,5,7,6,3,10,1};246238;0,7129;{8,12,4,9,2,11,5,7,6,3,10,1};246238;0,7129;11
31;True;{4,12,8,9,2,11,5,7,6,3,10,1};241170;2,0582;{4,12,8,9,2,11,5,7,6,3,10,1};241170;2,0582;11
32;False;{4,12,8,9,2,11,5,6,7,3,10,1};245802;-1,9206;{4,12,8,9,2,11,5,7,6,3,10,1};241170;0;12
33;False;{4,12,8,7,2,11,5,6,9,3,10,1};246728;-0,3767;{4,12,8,9,2,11,5,7,6,3,10,1};241170;0;13
34;False;{4,12,1,7,2,11,5,6,9,3,10,8};249788;-1,2402;{4,12,8,9,2,11,5,7,6,3,10,1};241170;0;14
35;True;{8,12,1,7,2,11,5,6,9,3,10,4};247350;0,976;{8,12,1,7,2,11,5,6,9,3,10,4};247350;-2,5625;14
36;True;{8,12,1,7,2,11,9,6,5,3,10,4};245300;0,8288;{8,12,1,7,2,11,9,6,5,3,10,4};245300;0,8288;14
37;False;{8,12,1,7,2,11,5,6,9,3,10,4};247350;-0,8357;{8,12,1,7,2,11,9,6,5,3,10,4};245300;0;15
38;False;{4,12,1,7,2,11,5,6,9,3,10,8};249788;-0,9856;{8,12,1,7,2,11,9,6,5,3,10,4};245300;0;16
39;False;{4,12,1,5,2,11,7,6,9,3,10,8};253578;-1,5173;{8,12,1,7,2,11,9,6,5,3,10,4};245300;0;17
40;True;{4,2,1,5,12,11,7,6,9,3,10,8};250826;1,0853;{4,2,1,5,12,11,7,6,9,3,10,8};250826;-2,2528;17
41;False;{4,12,1,5,2,11,7,6,9,3,10,8};253578;-1,0972;{4,2,1,5,12,11,7,6,9,3,10,8};250826;0;18
42;True;{4,12,1,5,11,2,7,6,9,3,10,8};252170;0,5553;{4,12,1,5,11,2,7,6,9,3,10,8};252170;-0,5358;18
43;False;{4,12,1,5,2,11,7,6,9,3,10,8};253578;-0,5584;{4,12,1,5,11,2,7,6,9,3,10,8};252170;0;19
44;False;{4,12,1,5,10,11,7,6,9,3,2,8};254322;-0,2934;{4,12,1,5,11,2,7,6,9,3,10,8};252170;0;20
45;False;{4,5,1,12,10,11,7,6,9,3,2,8};255388;-0,4192;{4,12,1,5,11,2,7,6,9,3,10,8};252170;0;20
46;True;{4,9,1,12,10,11,7,6,5,3,2,8};253038;0,9202;{4,9,1,12,10,11,7,6,5,3,2,8};253038;-0,3442;20
47;False;{4,5,1,12,10,11,7,6,9,3,2,8};255388;-0,9287;{4,9,1,12,10,11,7,6,5,3,2,8};253038;0;20
48;False;{4,6,1,12,10,11,7,5,9,3,2,8};258588;-1,253;{4,9,1,12,10,11,7,6,5,3,2,8};253038;0;20
49;False;{4,6,1,12,10,8,7,5,9,3,2,11};259366;-0,3009;{4,9,1,12,10,11,7,6,5,3,2,8};253038;0;20
50;True;{4,6,2,12,10,8,7,5,9,3,1,11};243974;5,9345;{4,6,2,12,10,8,7,5,9,3,1,11};243974;3,5821;20
51;False;{4,6,2,12,10,8,7,5,3,9,1,11};246520;-1,0436;{4,6,2,12,10,8,7,5,9,3,1,11};243974;0;20
52;True;{4,6,2,12,10,8,7,1,3,9,5,11};245540;0,3975;{4,6,2,12,10,8,7,1,3,9,5,11};245540;-0,6419;20
53;True;{4,6,2,5,10,8,7,1,3,9,12,11};243518;0,8235;{4,6,2,5,10,8,7,1,3,9,12,11};243518;0,8235;20
54;True;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0,9412;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0,9412;20
55;False;{4,6,2,5,10,8,7,1,3,9,12,11};243518;-0,9501;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0;20
56;False;{4,6,2,12,10,8,7,1,3,9,5,11};245540;-0,8303;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0;20
57;False;{4,6,2,12,10,8,7,5,3,9,1,11};246520;-0,3991;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0;20
58;False;{4,7,2,12,10,8,6,5,3,9,1,11};248262;-0,7066;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0;20
59;False;{4,7,2,12,10,8,6,9,3,5,1,11};252456;-1,6893;{4,6,5,2,10,8,7,1,3,9,12,11};241226;0;20
60;True;{4,7,2,5,10,8,6,9,3,12,1,11};251456;0,3961;{4,7,2,5,10,8,6,9,3,12,1,11};251456;-4,2408;20
61;False;{4,7,2,12,10,8,6,9,3,5,1,11};252456;-0,3977;{4,7,2,5,10,8,6,9,3,12,1,11};251456;0;20
62;False;{4,7,2,12,10,9,6,8,3,5,1,11};252696;-0,0951;{4,7,2,5,10,8,6,9,3,12,1,11};251456;0;20
63;False;{4,7,2,12,10,9,5,8,3,6,1,11};253172;-0,1884;{4,7,2,5,10,8,6,9,3,12,1,11};251456;0;20
64;True;{4,9,2,12,10,7,5,8,3,6,1,11};245516;3,024;{4,9,2,12,10,7,5,8,3,6,1,11};245516;2,3622;20
65;True;{4,9,2,12,10,5,7,8,3,6,1,11};241470;1,648;{4,9,2,12,10,5,7,8,3,6,1,11};241470;1,648;20
66;True;{4,9,2,5,10,12,7,8,3,6,1,11};239864;0,6651;{4,9,2,5,10,12,7,8,3,6,1,11};239864;0,6651;20
67;False;{4,9,2,5,10,1,7,8,3,6,12,11};240396;-0,2218;{4,9,2,5,10,12,7,8,3,6,1,11};239864;0;20
68;False;{4,9,2,5,10,1,7,3,8,6,12,11};243226;-1,1772;{4,9,2,5,10,12,7,8,3,6,1,11};239864;0;20
69;False;{4,12,2,5,10,1,7,3,8,6,9,11};248676;-2,2407;{4,9,2,5,10,12,7,8,3,6,1,11};239864;0;20
70;True;{4,12,2,5,10,1,9,3,8,6,7,11};248644;0,0129;{4,12,2,5,10,1,9,3,8,6,7,11};248644;-3,6604;20
71;False;{4,12,2,5,10,1,7,3,8,6,9,11};248676;-0,0129;{4,12,2,5,10,1,9,3,8,6,7,11};248644;0;20
72;False;{4,12,2,5,7,1,10,3,8,6,9,11};250010;-0,5364;{4,12,2,5,10,1,9,3,8,6,7,11};248644;0;20
73;False;{4,12,2,5,7,10,1,3,8,6,9,11};253982;-1,5887;{4,12,2,5,10,1,9,3,8,6,7,11};248644;0;20
74;True;{4,12,2,5,3,10,1,7,8,6,9,11};249584;1,7316;{4,12,2,5,3,10,1,7,8,6,9,11};249584;-0,3781;20
75;False;{4,12,2,5,7,10,1,3,8,6,9,11};253982;-1,7621;{4,12,2,5,3,10,1,7,8,6,9,11};249584;0;20
76;False;{4,12,7,5,2,10,1,3,8,6,9,11};257866;-1,5292;{4,12,2,5,3,10,1,7,8,6,9,11};249584;0;20
77;True;{5,12,7,4,2,10,1,3,8,6,9,11};248402;3,6701;{5,12,7,4,2,10,1,3,8,6,9,11};248402;0,4736;20
78;True;{5,12,9,4,2,10,1,3,8,6,7,11};248162;0,0966;{5,12,9,4,2,10,1,3,8,6,7,11};248162;0,0966;20
79;True;{3,12,9,4,2,10,1,5,8,6,7,11};247936;0,0911;{3,12,9,4,2,10,1,5,8,6,7,11};247936;0,0911;20
80;True;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0,8647;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0,8647;20
81;False;{3,12,9,4,2,10,1,5,8,6,7,11};247936;-0,8723;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0;20
82;False;{5,12,9,4,2,10,1,3,8,6,7,11};248162;-0,0912;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0;20
83;False;{5,12,7,4,2,10,1,3,8,6,9,11};248402;-0,0967;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0;20
84;False;{5,12,7,4,11,10,1,3,8,6,9,2};254460;-2,4388;{3,12,5,4,2,10,1,9,8,6,7,11};245792;0;20
85;True;{1,12,7,4,11,10,5,3,8,6,9,2};252366;0,8229;{1,12,7,4,11,10,5,3,8,6,9,2};252366;-2,6746;20
86;True;{9,12,7,4,11,10,5,3,8,6,1,2};243824;3,3848;{9,12,7,4,11,10,5,3,8,6,1,2};243824;3,3848;20
87;True;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0,8244;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0,8244;20
88;False;{9,12,7,4,11,10,5,3,8,6,1,2};243824;-0,8312;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0;20
89;False;{7,12,9,4,11,10,5,3,8,6,1,2};245876;-0,8416;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0;20
90;False;{7,12,9,4,11,10,3,5,8,6,1,2};249978;-1,6683;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0;20
